capture_id,sample_id,bmi323_x_G,bmi323_y_G,bmi323_z_G,adxl375_x_G,adxl375_y_G,adxl375_z_G
1,51,-1.005617,0.008791,-0.007814,-0.539000,0.294000,-0.294000
1,52,-1.008181,0.008425,-0.007448,-0.539000,0.294000,-0.245000
1,53,-1.005250,0.007692,-0.008059,-0.539000,0.294000,-0.294000
1,54,-1.006471,0.007937,-0.007326,-0.637000,0.343000,-0.392000
1,55,-1.006593,0.009402,-0.007448,-0.588000,0.343000,-0.343000
1,56,-1.005861,0.009890,-0.006471,-0.539000,0.294000,-0.343000
1,57,-1.005739,0.008547,-0.007570,-0.588000,0.343000,-0.343000
1,58,-1.005983,0.008791,-0.008425,-0.490000,0.245000,-0.245000
1,59,-1.007448,0.008181,-0.006838,-0.490000,0.196000,-0.245000
1,60,-1.005739,0.008547,-0.007204,-0.490000,0.294000,-0.294000
1,61,-1.006593,0.007204,-0.007692,-0.539000,0.245000,-0.343000
1,62,-1.006349,0.009035,-0.006593,-0.490000,0.245000,-0.294000
1,63,-1.007082,0.007937,-0.007814,-0.588000,0.294000,-0.196000
1,64,-1.005006,0.008303,-0.007814,-0.588000,0.294000,-0.392000
1,65,-1.009524,0.007814,-0.006716,-0.588000,0.294000,-0.245000
1,66,-1.004640,0.007326,-0.007692,-0.490000,0.294000,-0.196000
1,67,-1.005861,0.007692,-0.007814,-0.539000,0.245000,-0.294000
1,68,-1.005983,0.007326,-0.008059,-0.539000,0.245000,-0.343000
1,69,-1.006349,0.008059,-0.009280,-0.539000,0.343000,-0.245000
1,70,-1.005494,0.008669,-0.006105,-0.588000,0.245000,-0.343000
1,71,-1.004274,0.008303,-0.007570,-0.637000,0.196000,-0.343000
1,72,-1.007448,0.009646,-0.007448,-0.539000,0.294000,-0.245000
1,73,-1.005128,0.008425,-0.007937,-0.588000,0.441000,-0.294000
1,74,-1.005861,0.007937,-0.006838,-0.539000,0.245000,-0.294000
1,75,-1.006593,0.008181,-0.007326,-0.637000,0.343000,-0.343000
1,76,-1.005250,0.007692,-0.007448,-0.539000,0.245000,-0.294000
1,77,-1.006960,0.007326,-0.007692,-0.588000,0.343000,-0.245000
1,78,-1.007204,0.009524,-0.006838,-0.490000,0.294000,-0.245000
1,79,-1.006227,0.008425,-0.007692,-0.637000,0.294000,-0.294000
1,80,-1.006593,0.008425,-0.007692,-0.588000,0.294000,-0.245000
1,81,-1.007448,0.008059,-0.008791,-0.588000,0.245000,-0.294000
1,82,-1.005861,0.008913,-0.007448,-0.637000,0.245000,-0.245000
1,83,-1.006227,0.007937,-0.007692,-0.539000,0.294000,-0.245000
1,84,-1.006960,0.008059,-0.008791,-0.539000,0.294000,-0.245000
1,85,-1.004640,0.008913,-0.008059,-0.490000,0.245000,-0.343000
1,86,-1.006227,0.007814,-0.007937,-0.539000,0.245000,-0.343000
1,87,-1.005617,0.008425,-0.008059,-0.490000,0.343000,-0.294000
1,88,-1.006838,0.008059,-0.007692,-0.637000,0.245000,-0.245000
1,89,-1.003663,0.007814,-0.007937,-0.539000,0.343000,-0.343000
1,90,-1.005983,0.008547,-0.007204,-0.539000,0.294000,-0.294000
1,91,-1.003907,0.008059,-0.008425,-0.588000,0.245000,-0.294000
1,92,-1.007326,0.008913,-0.007082,-0.539000,0.343000,-0.294000
1,93,-1.005494,0.008425,-0.007692,-0.490000,0.245000,-0.294000
1,94,-1.005617,0.007570,-0.007570,-0.539000,0.294000,-0.392000
1,95,-1.005250,0.007082,-0.008181,-0.539000,0.245000,-0.441000
1,96,-1.008181,0.008791,-0.007448,-0.490000,0.294000,-0.294000
1,97,-1.007814,0.009646,-0.006716,-0.686000,0.294000,-0.392000
1,98,-1.007082,0.008669,-0.007692,-0.588000,0.294000,-0.294000
1,99,-1.006716,0.009158,-0.007082,-0.539000,0.245000,-0.294000
2,0,0.031258,0.027473,-0.994750,0.441000,0.294000,-1.421000
2,1,0.032112,0.026984,-0.997924,0.441000,0.343000,-1.372000
2,2,0.031380,0.026618,-0.996581,0.392000,0.294000,-1.519000
2,3,0.031502,0.026740,-0.995849,0.441000,0.294000,-1.323000
2,4,0.030525,0.027839,-0.998413,0.392000,0.294000,-1.421000
2,5,0.030037,0.027228,-0.997558,0.490000,0.343000,-1.372000
2,6,0.031868,0.027595,-0.998291,0.441000,0.392000,-1.372000
2,7,0.031136,0.027961,-0.996703,0.441000,0.343000,-1.372000
2,8,0.030525,0.027595,-0.995849,0.441000,0.392000,-1.323000
2,9,0.031136,0.028449,-0.995849,0.392000,0.245000,-1.421000
2,10,0.030525,0.027717,-0.996459,0.392000,0.343000,-1.470000
2,11,0.030281,0.027473,-0.996459,0.441000,0.294000,-1.421000
2,12,0.030403,0.027961,-0.996703,0.441000,0.294000,-1.323000
2,13,0.030891,0.027473,-0.996093,0.392000,0.294000,-1.470000
2,14,0.029670,0.026862,-0.995726,0.392000,0.343000,-1.372000
2,15,0.031502,0.026129,-0.996947,0.392000,0.343000,-1.372000
2,16,0.029304,0.027350,-0.995726,0.490000,0.294000,-1.421000
2,17,0.030281,0.027839,-0.996947,0.392000,0.441000,-1.372000
2,18,0.031380,0.026984,-0.996581,0.343000,0.392000,-1.421000
