magic,size,crc16,status_flags,time_boot_ms,ms5607_pressure_mbar,ms5607_temperature_c,bmi323_accel_x,bmi323_accel_y,bmi323_accel_z,bmi323_gyro_x,bmi323_gyro_y,bmi323_gyro_z,adxl375_accel_x,adxl375_accel_y,adxl375_accel_z,bm1422_magn_x,bm1422_magn_y,bm1422_magn_z,gps_lat,gps_lng,gps_alt,gps_speed,gps_course,gps_num_sats
"COREYMAY3",98,27136,0,9487245,901.780029,52.730000,0.084493,0.060806,0.981807,-0.182927,-0.243902,0.670732,0.539000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,39468,0,9487255,901.780029,52.730000,0.100977,0.057143,0.993040,-0.121951,-0.304878,0.609756,0.637000,0.343000,0.686000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,10372,0,9487265,901.780029,52.730000,0.102198,0.063980,1.017216,-0.243902,-0.304878,-0.121951,0.637000,0.245000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,1636,0,9487275,901.739990,52.730000,0.073748,0.038584,0.974359,-0.365854,-0.304878,0.182927,0.588000,0.343000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,15229,0,9487285,901.739990,52.730000,0.120757,0.040904,1.004151,-0.243902,-0.243902,0.609756,0.539000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,54030,0,9487295,901.739990,52.730000,0.109768,0.074725,1.005494,-0.060976,-0.182927,0.731707,0.539000,0.294000,0.490000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,50600,0,9487305,901.739990,52.730000,0.069597,0.036264,0.971795,0.000000,-0.121951,0.914634,0.490000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,51789,0,9487315,901.770020,52.730000,0.130403,0.085348,1.015385,-0.060976,-0.243902,0.426829,0.539000,0.245000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,43334,0,9487325,901.770020,52.730000,0.098657,0.032479,0.999756,-0.182927,-0.182927,0.060976,0.441000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,21160,0,9487335,901.770020,52.730000,0.073260,0.033944,0.971917,-0.182927,-0.121951,0.182927,0.588000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,36804,0,9487345,901.770020,52.730000,0.131258,0.071184,1.019780,0.000000,-0.121951,0.304878,0.588000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,53506,0,9487355,901.739990,52.730000,0.091819,0.042979,0.984860,0.060976,-0.060976,0.243902,0.490000,0.294000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,56904,0,9487365,901.739990,52.730000,0.087790,0.052869,0.986935,0.000000,-0.060976,-0.060976,0.490000,0.294000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,22554,0,9487375,901.739990,52.730000,0.121490,0.055800,1.022222,-0.121951,-0.060976,-0.487805,0.588000,0.245000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,9428,0,9487385,901.739990,52.730000,0.082540,0.050549,0.979731,-0.182927,-0.060976,-0.487805,0.588000,0.343000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,19977,0,9487395,901.799988,52.730000,0.091697,0.031380,0.997436,0.000000,0.000000,-0.304878,0.539000,0.392000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,34721,0,9487405,901.799988,52.730000,0.124542,0.080464,1.003541,0.121951,0.000000,-0.121951,0.539000,0.294000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,4919,0,9487415,901.799988,52.730000,0.070085,0.043223,0.985348,0.121951,0.000000,-0.304878,0.490000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,1521,0,9487425,901.799988,52.730000,0.108303,0.073871,1.003297,-0.060976,-0.060976,-0.670732,0.539000,0.441000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,49295,0,9487435,901.760010,52.730000,0.104029,0.058852,0.993773,-0.060976,0.000000,-0.426829,0.539000,0.343000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,46483,0,9487445,901.760010,52.730000,0.091941,0.035775,0.986813,0.060976,0.000000,-0.182927,0.588000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,56128,0,9487455,901.760010,52.730000,0.106960,0.068376,1.003175,0.182927,0.060976,0.243902,0.539000,0.294000,0.539000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,57939,0,9487465,901.760010,52.730000,0.094750,0.058608,0.986935,0.182927,0.121951,0.548781,0.588000,0.294000,0.490000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,38068,0,9487475,901.760010,52.730000,0.109035,0.068376,0.997558,0.060976,0.121951,0.000000,0.637000,0.343000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,53355,0,9487485,901.760010,52.730000,0.091209,0.042247,0.999023,-0.060976,0.121951,-0.365854,0.539000,0.392000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,64512,0,9487495,901.760010,52.730000,0.098413,0.051282,0.988034,0.000000,0.060976,-0.365854,0.588000,0.392000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,13817,0,9487505,901.760010,52.730000,0.103907,0.056044,1.007326,0.060976,0.121951,-0.365854,0.539000,0.392000,0.637000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
"COREYMAY3",98,25623,0,9487515,901.770020,52.730000,0.097436,0.060317,0.986325,0.121951,0.243902,-0.121951,0.588000,0.294000,0.588000,0.000000,0.000000,0.000000,31.0473175,-103.5266418,884.890,0.000,6070,21
